name, author, illustrator
デート・ア・ライブ アンコール, 橘公司, つなこ

title, release date, in library, completed, book cover source
アンコール1, 2013-05-18, true, true, C:\Users\Weij\Desktop\CS\LN_lib\src\main\resources\lib\ln\img\DAL_encore_v01.png
アンコール2, 2014-05-20, true, true, C:\Users\Weij\Desktop\CS\LN_lib\src\main\resources\lib\ln\img\DAL_encore_v02.png
アンコール3, 2014-12-09, true, true, C:\Users\Weij\Desktop\CS\LN_lib\src\main\resources\lib\ln\img\DAL_encore_v03.png
アンコール4, 2015-08-20, true, true, C:\Users\Weij\Desktop\CS\LN_lib\src\main\resources\lib\ln\img\DAL_encore_v04.png
アンコール5, 2016-05-20, true, true, C:\Users\Weij\Desktop\CS\LN_lib\src\main\resources\lib\ln\img\DAL_encore_v05.png
アンコール6, 2016-12-20, true, true, C:\Users\Weij\Desktop\CS\LN_lib\src\main\resources\lib\ln\img\DAL_encore_v06.png
アンコール7, 2017-12-20, true, true, C:\Users\Weij\Desktop\CS\LN_lib\src\main\resources\lib\ln\img\DAL_encore_v07.png
アンコール8, 2018-10-20, true, false, C:\Users\Weij\Desktop\CS\LN_lib\src\main\resources\lib\ln\img\DAL_encore_v08.png
アンコール9, 2019-07-20, true, false, C:\Users\Weij\Desktop\CS\LN_lib\src\main\resources\lib\ln\img\DAL_encore_v09.png
アンコール10, 2020-08-20, true, false, C:\Users\Weij\Desktop\CS\LN_lib\src\main\resources\lib\ln\img\DAL_encore_v10.png
