name, author, illustrator
緋弾のアリア, 赤松中学, こぶいち

title, release date, in library, completed, book cover source
緋弾のアリア, 2008-08-25, true, true, C:\Users\Weij\Desktop\CS\LN_lib\src\main\resources\lib\ln\img\hidan_no_aria\v01.png
燃える銀氷, 2008-12-25, true, true, C:\Users\Weij\Desktop\CS\LN_lib\src\main\resources\lib\ln\img\hidan_no_aria\v02.png
蜂蜜色の罠, 2009-03-25, true, true, C:\Users\Weij\Desktop\CS\LN_lib\src\main\resources\lib\ln\img\hidan_no_aria\v03.png
堕ちた緋弾, 2009-08-25, true, true, C:\Users\Weij\Desktop\CS\LN_lib\src\main\resources\lib\ln\img\hidan_no_aria\v04.png
序曲の終止線, 2009-12-25, true, true, C:\Users\Weij\Desktop\CS\LN_lib\src\main\resources\lib\ln\img\hidan_no_aria\v05.png
絶対半径2051, 2010-04-23, true, true, C:\Users\Weij\Desktop\CS\LN_lib\src\main\resources\lib\ln\img\hidan_no_aria\v06.png
火と風の円舞, 2010-08-25, true, true, C:\Users\Weij\Desktop\CS\LN_lib\src\main\resources\lib\ln\img\hidan_no_aria\v07.png
螺旋の天空樹, 2010-12-24, true, true, C:\Users\Weij\Desktop\CS\LN_lib\src\main\resources\lib\ln\img\hidan_no_aria\v08.png
蒼き閃光, 2011-03-25, true, true, C:\Users\Weij\Desktop\CS\LN_lib\src\main\resources\lib\ln\img\hidan_no_aria\v09.png
禁忌の双極, 2011-07-25, true, true, C:\Users\Weij\Desktop\CS\LN_lib\src\main\resources\lib\ln\img\hidan_no_aria\v10.png
Gの血族, 2011-12-22, true, true, C:\Users\Weij\Desktop\CS\LN_lib\src\main\resources\lib\ln\img\hidan_no_aria\v11.png
狼狗に降る雪, 2012-05-25, true, true, C:\Users\Weij\Desktop\CS\LN_lib\src\main\resources\lib\ln\img\hidan_no_aria\v12.png
反撃の九龍, 2012-08-24, true, true, C:\Users\Weij\Desktop\CS\LN_lib\src\main\resources\lib\ln\img\hidan_no_aria\v13.png
招かれざる海霧, 2013-04-25, true, true, C:\Users\Weij\Desktop\CS\LN_lib\src\main\resources\lib\ln\img\hidan_no_aria\v14.png
哿と銀氷, 2013-08-25, true, false, C:\Users\Weij\Desktop\CS\LN_lib\src\main\resources\lib\ln\img\hidan_no_aria\v15.png
星の砦の秂狼, 2013-12-25, true, false, C:\Users\Weij\Desktop\CS\LN_lib\src\main\resources\lib\ln\img\hidan_no_aria\v16.png
緋弾の叙唱, 2014-04-25, true, false, C:\Users\Weij\Desktop\CS\LN_lib\src\main\resources\lib\ln\img\hidan_no_aria\v17.png
星条旗の覇道, 2014-08-25, true, false, C:\Users\Weij\Desktop\CS\LN_lib\src\main\resources\lib\ln\img\hidan_no_aria\v18.png
小舞曲を御一緒に, 2014-12-25, true, false, C:\Users\Weij\Desktop\CS\LN_lib\src\main\resources\lib\ln\img\hidan_no_aria\v19.png
恋と戦の超伝導, 2015-05-25, true, false, C:\Users\Weij\Desktop\CS\LN_lib\src\main\resources\lib\ln\img\hidan_no_aria\v20.png
